header timestamp,position x,position y,oritentation yaw,velocity
1638350244.1418064,21.8413,1.08146,0.0464288,3.38742
1638350244.2418623,22.1799,1.09709,0.0457756,3.38336
1638350244.3419087,22.5179,1.11246,0.0451696,3.39455
1638350244.441922,22.857,1.12769,0.0447975,3.37627
1638350244.5418863,23.1941,1.14269,0.0441987,3.36223
1638350244.641847,23.5299,1.15759,0.0439955,3.38614
1638350244.7418222,23.8682,1.17248,0.04396,3.43272
1638350244.8417892,24.211,1.18747,0.0434489,3.37733
1638350244.9417467,24.5489,1.20205,0.0427664,3.37193
1638350245.0417016,24.8859,1.21647,0.0426922,3.36182
1638350245.1416657,25.2218,1.23082,0.0427794,3.42315
1638350245.241635,25.5634,1.24544,0.0428019,3.42559
1638350245.3415956,25.905,1.26004,0.0425172,3.43825
1638350245.4415736,26.2468,1.27472,0.0423264,3.40888
1638350245.541552,26.5872,1.28913,0.0422708,3.48558
1638350245.6415353,26.935,1.30391,0.0427114,3.45806
1638350245.7415128,27.2804,1.31863,0.0423647,3.52764
1638350245.84148,27.6326,1.33366,0.0427672,3.46723
1638350245.941463,27.9793,1.34858,0.0434042,3.46604
1638350246.0414612,28.3256,1.36372,0.0440549,3.48862
1638350246.1414466,28.6741,1.37902,0.0437639,3.49245
1638350246.2414339,29.0229,1.39423,0.0436392,3.43028
1638350246.3414288,29.3658,1.40923,0.0440407,3.47309
1638350246.4414244,29.7127,1.42446,0.0437713,3.4649
1638350246.541423,30.0594,1.43949,0.0436321,3.44714
1638350246.641416,30.4037,1.45464,0.0440733,3.48054
1638350246.741403,30.7515,1.46998,0.0441207,3.45806
1638350246.841398,31.097,1.48529,0.0445105,3.49208
1638350246.9413867,31.4458,1.50077,0.0440528,3.46935
1638350247.0413916,31.7924,1.51609,0.0438537,3.46549
1638350247.1413896,32.1386,1.53134,0.0440178,3.47363
1638350247.2413912,32.4856,1.54658,0.0435557,3.45912
1638350247.341385,32.8303,1.56158,0.0433686,3.53797
1638350247.4413447,33.184,1.57684,0.0428457,3.56744
1638350247.5413115,33.5421,1.5923,0.0432842,3.67559
1638350247.6412811,33.9133,1.60861,0.0435292,3.72443
1638350247.741238,34.2895,1.62491,0.0428533,3.78926
1638350247.841207,34.6768,1.64107,0.0431056,3.86776
1638350247.9411805,35.0663,1.65787,0.0430803,3.84587
1638350248.0411592,35.4524,1.67434,0.0422258,3.92022
1638350248.1411464,35.8462,1.69085,0.0416333,3.961
1638350248.2411385,36.2412,1.70736,0.041385,4.03882
1638350248.3411272,36.6474,1.72392,0.0401372,4.13496
1638350248.441147,37.0638,1.74039,0.0388866,4.17895
1638350248.5411835,37.4849,1.75656,0.037801,4.28768
1638350248.6412132,37.9171,1.7727,0.0369379,4.34229
1638350248.7412727,38.3551,1.78868,0.0359567,4.40608
1638350248.841339,38.7988,1.80427,0.0342596,4.41689
1638350248.9413798,39.2423,1.81902,0.0322484,4.36456
1638350249.0414228,39.679,1.83267,0.0302278,4.23841
1638350249.1414604,40.1028,1.84507,0.0281906,4.27744
1638350249.2414813,40.5287,1.85669,0.0263844,4.11873
1638350249.3415177,40.9359,1.86721,0.0251366,4.06197
1638350249.4415212,41.3345,1.87693,0.0236278,3.78613
1638350249.5414872,41.7036,1.88529,0.0216207,3.60739
1638350249.6414502,42.0545,1.89264,0.0201761,3.44014
1638350249.7414126,42.388,1.89917,0.0188446,3.24665
1638350249.8413603,42.7027,1.90484,0.0172206,3.10912
1638350249.9413145,43.0023,1.90992,0.0168509,2.93981
1638350250.0412853,43.2868,1.91485,0.0165583,2.79099
1638350250.1412823,43.5576,1.91928,0.0158262,2.61234
1638350250.2412512,43.8114,1.92303,0.013761,2.48162
1638350250.3412073,44.052,1.92624,0.0128001,2.31653
1638350250.4411728,44.276,1.92911,0.0127261,2.16868
1638350250.5411415,44.4838,1.93166,0.0117329,1.99519
1638350250.6411233,44.6744,1.93377,0.0103028,1.80199
1638350250.7411115,44.8468,1.93546,0.00960564,1.62817
1638350250.8411,45.0018,1.93689,0.00910932,1.46205
1638350250.941091,45.1414,1.93847,0.00891644,1.29663
1638350251.0410707,45.2621,1.93951,0.00823938,1.14961
1638350251.1410353,45.3688,1.94032,0.00716631,0.99723
1638350251.241016,45.4498,1.94082,0.00700082,0.951491
1638350251.3410022,45.5396,1.94145,0.00693922,0.911118
1638350251.4409964,45.6292,1.94204,0.00634402,0.906736
1638350251.5409784,45.7199,1.94259,0.005625,0.908947
1638350251.640957,45.8113,1.94308,0.00536407,0.913328
1638350251.7409432,45.9033,1.94358,0.00532549,0.903928
1638350251.8409133,45.9936,1.94405,0.0051739,0.907775
1638350251.940889,46.0844,1.94451,0.00481563,0.945512
1638350252.0408635,46.1797,1.94495,0.00429217,0.993198
1638350252.1408336,46.2807,1.94538,0.00427812,1.05343
1638350252.2408135,46.3884,1.94584,0.00462623,1.18488
1638350252.340779,46.5107,1.94641,0.00462524,1.29982
1638350252.4407568,46.6436,1.94705,0.00510386,1.47252
1638350252.540733,46.7987,1.94791,0.00590297,1.63821
1638350252.6407027,46.9709,1.94903,0.00703159,1.81988
1638350252.7406857,47.1613,1.95052,0.00860755,1.97066
1638350252.840666,47.3664,1.95249,0.0106547,2.16104
1638350252.9406488,47.5906,1.95512,0.0128097,2.32906
1638350253.0406337,47.8317,1.95847,0.0149343,2.47931
1638350253.1406174,48.0878,1.96261,0.017386,2.65276
1638350253.240612,48.3613,1.96775,0.0202252,2.81673
1638350253.3406065,48.6511,1.97401,0.0229129,3.01195
1638350253.440631,48.961,1.98153,0.0256294,3.18269
1638350253.5406787,49.2884,1.99041,0.0285946,3.35605
1638350253.6406963,49.6331,2.00087,0.0320498,3.54659
1638350253.7407424,49.997,2.01322,0.0357374,3.7033
1638350253.8408024,50.376,2.02741,0.0390164,3.86928
1638350253.940853,50.7707,2.04333,0.0416334,3.99549
1638350254.0409052,51.1779,2.06089,0.044523,4.03677
1638350254.140951,51.5876,2.07966,0.0470364,4.10682
1638350254.2410095,52.0027,2.09962,0.0490786,4.19846
1638350254.341061,52.4255,2.12062,0.0502308,4.25061
1638350254.441059,52.8528,2.14219,0.0509085,4.36974
1638350254.541048,53.2937,2.16457,0.0506107,4.3899
1638350254.6410267,53.7349,2.18691,0.050664,4.42464
1638350254.7409995,54.1813,2.20936,0.0509641,4.51107
1638350254.8409612,54.6349,2.2325,0.0509761,4.65148
1638350254.94092,55.1045,2.25624,0.0511241,4.79194
1638350255.0409012,55.5825,2.28043,0.0512995,4.91372
1638350255.1408887,56.0783,2.30588,0.0513192,4.96969
1638350255.2408934,56.5799,2.33172,0.0518183,5.09948
1638350255.34091,57.0953,2.35845,0.0519056,5.23615
1638350255.4409077,57.6241,2.38577,0.0514413,5.32475
1638350255.5409112,58.159,2.41325,0.0509854,5.43725
1638350255.6409035,58.7071,2.44082,0.0495108,5.49527
1638350255.740887,59.2615,2.46797,0.0484749,5.62827
1638350255.8408537,59.8293,2.49553,0.0480222,5.70381
1638350255.9408386,60.4105,2.52352,0.0481303,5.79046
1638350256.0408175,60.9926,2.55115,0.0467497,5.89567
1638350256.1408002,61.5842,2.57848,0.0455411,5.96282
1638350256.2407856,62.1832,2.60548,0.0447176,5.97955
1638350256.3407772,62.7844,2.63212,0.0438859,6.08836
1638350256.4407697,63.3958,2.65865,0.0428486,6.07618
1638350256.540764,64.005,2.68432,0.041435,6.07003
1638350256.6407557,64.6129,2.70914,0.0401675,6.16089
1638350256.7407253,65.2293,2.73374,0.0395154,6.19937
1638350256.840683,65.8489,2.75782,0.0382297,6.28338
1638350256.9406505,66.4771,2.78149,0.0369907,6.29489
1638350257.0406108,67.1074,2.80449,0.0359516,6.34072
1638350257.140584,67.7429,2.82723,0.0355546,6.29258
1638350257.240574,68.3727,2.8495,0.0351032,6.3392
1638350257.3405516,69.0074,2.8715,0.0341369,6.39351
1638350257.4405243,69.6473,2.89315,0.0334391,6.43069
1638350257.5404732,70.2905,2.91457,0.0329909,6.4771
1638350257.6404495,70.9391,2.93597,0.0329993,6.46073
1638350257.7404356,71.5859,2.95697,0.0318649,6.5368
1638350257.8403876,72.24,2.97745,0.0306926,6.58332
1638350257.9403536,72.899,2.99754,0.0303957,6.5978
1638350258.0403273,73.5594,3.0175,0.0298696,6.58575
1638350258.1402864,74.2176,3.03676,0.0286826,6.52991
1638350258.2402606,74.8701,3.05528,0.0281296,6.48573
