frame seq,bag timestamp,header timestamp,position x,position y,oritentation yaw,oritentation pitch,orientation roll,velocity,ego_lane
63,1638350241.241952512,1638350241.241952512,11.9393,0.498073,0.06861,0,0,3.46158,0
64,1638350241.341936128,1638350241.341936128,12.2846,0.521928,0.0692334,0,0,3.42766,0
65,1638350241.441897984,1638350241.441897984,12.6262,0.545414,0.0680519,0,0,3.4543,0
66,1638350241.541880832,1638350241.541880832,12.9708,0.568899,0.0680436,0,0,3.45194,0
67,1638350241.641876224,1638350241.641876224,13.315,0.592305,0.0676693,0,0,3.46585,0
68,1638350241.741860864,1638350241.741860864,13.6607,0.615622,0.0669489,0,0,3.44141,0
69,1638350241.841860096,1638350241.841860096,14.0041,0.63856,0.0663419,0,0,3.46353,0
70,1638350241.941846784,1638350241.941846784,14.3496,0.661298,0.0651037,0,0,3.42161,0
71,1638350242.041826304,1638350242.041826304,14.6911,0.683424,0.0641497,0,0,3.45513,0
72,1638350242.141809152,1638350242.141809152,15.0363,0.70552,0.0639658,0,0,3.45132,0
73,1638350242.241773824,1638350242.241773824,15.3806,0.727421,0.0632192,0,0,3.40169,0
74,1638350242.341758976,1638350242.341758976,15.72,0.748761,0.0624311,0,0,3.40471,0
75,1638350242.441742848,1638350242.441742848,16.0595,0.769832,0.0615298,0,0,3.4319,0
76,1638350242.541721856,1638350242.541721856,16.4017,0.790715,0.0603981,0,0,3.40925,0
77,1638350242.641708800,1638350242.641708800,16.742,0.811163,0.0596877,0,0,3.4413,0
78,1638350242.741685248,1638350242.741685248,17.0854,0.831573,0.0590613,0,0,3.43084,0
79,1638350242.841664256,1638350242.841664256,17.428,0.851701,0.0582801,0,0,3.47592,0
80,1638350242.941640960,1638350242.941640960,17.7751,0.871751,0.0572002,0,0,3.35996,0
81,1638350243.041623552,1638350243.041623552,18.1104,0.89088,0.056595,0,0,3.42002,0
82,1638350243.141607936,1638350243.141607936,18.452,0.910017,0.0552862,0,0,3.41688,0
83,1638350243.241577216,1638350243.241577216,18.793,0.92872,0.0542813,0,0,3.4233,0
84,1638350243.341545984,1638350243.341545984,19.1348,0.947162,0.0534725,0,0,3.38992,0
85,1638350243.441568256,1638350243.441568256,19.4733,0.965003,0.051849,0,0,3.38586,0
86,1638350243.541573632,1638350243.541573632,19.8112,0.982388,0.0510466,0,0,3.36448,0
87,1638350243.641606912,1638350243.641606912,20.147,0.999427,0.050435,0,0,3.37492,0
88,1638350243.741618432,1638350243.741618432,20.4843,1.01628,0.0494368,0,0,3.37433,0
89,1638350243.841664000,1638350243.841664000,20.8222,1.03291,0.0489705,0,0,3.37468,0
90,1638350243.941707520,1638350243.941707520,21.16,1.04931,0.0480266,0,0,3.4076,0
91,1638350244.041752064,1638350244.041752064,21.5006,1.06552,0.046964,0,0,3.4061,0
92,1638350244.141806336,1638350244.141806336,21.8413,1.08146,0.0464288,0,0,3.38742,0
93,1638350244.241862400,1638350244.241862400,22.1799,1.09709,0.0457756,0,0,3.38336,0
94,1638350244.341908736,1638350244.341908736,22.5179,1.11246,0.0451696,0,0,3.39455,0
95,1638350244.441922048,1638350244.441922048,22.857,1.12769,0.0447975,0,0,3.37627,0
96,1638350244.541886464,1638350244.541886464,23.1941,1.14269,0.0441987,0,0,3.36223,0
97,1638350244.641846784,1638350244.641846784,23.5299,1.15759,0.0439955,0,0,3.38614,0
98,1638350244.741822208,1638350244.741822208,23.8682,1.17248,0.04396,0,0,3.43272,0
99,1638350244.841789184,1638350244.841789184,24.211,1.18747,0.0434489,0,0,3.37733,0
100,1638350244.941746944,1638350244.941746944,24.5489,1.20205,0.0427664,0,0,3.37193,0
101,1638350245.041701632,1638350245.041701632,24.8859,1.21647,0.0426922,0,0,3.36182,0
102,1638350245.141665536,1638350245.141665536,25.2218,1.23082,0.0427794,0,0,3.42315,0
103,1638350245.241635072,1638350245.241635072,25.5634,1.24544,0.0428019,0,0,3.42559,0
104,1638350245.341595648,1638350245.341595648,25.905,1.26004,0.0425172,0,0,3.43825,0
105,1638350245.441573632,1638350245.441573632,26.2468,1.27472,0.0423264,0,0,3.40888,0
106,1638350245.541552128,1638350245.541552128,26.5872,1.28913,0.0422708,0,0,3.48558,0
107,1638350245.641535488,1638350245.641535488,26.935,1.30391,0.0427114,0,0,3.45806,0
108,1638350245.741512960,1638350245.741512960,27.2804,1.31863,0.0423647,0,0,3.52764,0
109,1638350245.841480192,1638350245.841480192,27.6326,1.33366,0.0427672,0,0,3.46723,0
110,1638350245.941463040,1638350245.941463040,27.9793,1.34858,0.0434042,0,0,3.46604,0
111,1638350246.041461248,1638350246.041461248,28.3256,1.36372,0.0440549,0,0,3.48862,0
112,1638350246.141446656,1638350246.141446656,28.6741,1.37902,0.0437639,0,0,3.49245,0
113,1638350246.241433856,1638350246.241433856,29.0229,1.39423,0.0436392,0,0,3.43028,0
114,1638350246.341428736,1638350246.341428736,29.3658,1.40923,0.0440407,0,0,3.47309,0
115,1638350246.441424384,1638350246.441424384,29.7127,1.42446,0.0437713,0,0,3.4649,0
116,1638350246.541423360,1638350246.541423360,30.0594,1.43949,0.0436321,0,0,3.44714,0
